,id,speaker_id,utterance_order,transcript_id,corpus_id,gloss,num_tokens,stem,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_id,target_child_age,target_child_name,target_child_sex,type,media_end,media_start,media_unit,collection_id,collection_name,num_morphemes,language,corpus_name,Rating.Mean,Conc.M,SUBTLEX
5548,9970916,15173,147,25707,201,he,8,I think he be sick on the floor,pro:sub v pro:sub cop adj prep det:art n,MOT,,Mother,15170.0,42.3622661656297,Samantha,female,declarative,,,,13,Eng-UK,10.0,eng,Wells,3.81,3.93,389497.0
5549,9970916,15173,147,25707,201,been,8,I think he be sick on the floor,pro:sub v pro:sub cop adj prep det:art n,MOT,,Mother,15170.0,42.3622661656297,Samantha,female,declarative,,,,13,Eng-UK,10.0,eng,Wells,,1.92,88573.0
5550,9970916,15173,147,25707,201,sick,8,I think he be sick on the floor,pro:sub v pro:sub cop adj prep det:art n,MOT,,Mother,15170.0,42.3622661656297,Samantha,female,declarative,,,,13,Eng-UK,10.0,eng,Wells,4.05,2.97,8437.0
5551,9970916,15173,147,25707,201,on,8,I think he be sick on the floor,pro:sub v pro:sub cop adj prep det:art n,MOT,,Mother,15170.0,42.3622661656297,Samantha,female,declarative,,,,13,Eng-UK,10.0,eng,Wells,4.01,3.25,354742.0
5552,9970916,15173,147,25707,201,the,8,I think he be sick on the floor,pro:sub v pro:sub cop adj prep det:art n,MOT,,Mother,15170.0,42.3622661656297,Samantha,female,declarative,,,,13,Eng-UK,10.0,eng,Wells,3.98,1.43,1501908.0
5553,9970916,15173,147,25707,201,floor,8,I think he be sick on the floor,pro:sub v pro:sub cop adj prep det:art n,MOT,,Mother,15170.0,42.3622661656297,Samantha,female,declarative,,,,13,Eng-UK,10.0,eng,Wells,4.44,4.8,5132.0
5554,10544908,15444,204,26503,204,thank_you,1,thank_you,co,INV,Caroline,Investigator,15443.0,30.526294174418396,Nicole,female,declarative,,,,13,Eng-UK,1.0,eng,Manchester,,,
5555,10544912,15445,205,26503,204,thank_you,1,thank_you,co,MOT,,Mother,15443.0,30.526294174418396,Nicole,female,declarative,,,,13,Eng-UK,1.0,eng,Manchester,,,
5556,10675369,15456,595,26663,204,oh,1,oh,co,INV,Anna,Investigator,15455.0,32.3292059385203,Warren,male,declarative,,,,13,Eng-UK,1.0,eng,Manchester,4.72,1.48,167781.0
5557,10675379,15457,596,26663,204,is,4,be there a plane,cop adv det:art n,MOT,Mother,Mother,15455.0,32.3292059385203,Warren,male,question,,,,13,Eng-UK,5.0,eng,Manchester,,1.59,459663.0
5558,10675379,15457,596,26663,204,there,4,be there a plane,cop adv det:art n,MOT,Mother,Mother,15455.0,32.3292059385203,Warren,male,question,,,,13,Eng-UK,5.0,eng,Manchester,5.25,2.2,221754.0
5559,10675379,15457,596,26663,204,plane,4,be there a plane,cop adv det:art n,MOT,Mother,Mother,15455.0,32.3292059385203,Warren,male,question,,,,13,Eng-UK,5.0,eng,Manchester,4.95,4.92,4872.0
5560,10688417,15481,38,26697,206,what,5,what have you be do,pro:int v pro:per aux part,MOT,Mother,Mother,15480.0,24.066202591429,Eleanor,female,question,319.882,318.361,s,13,Eng-UK,7.0,eng,MPI-EVA-Manchester,3.86,2.0,501965.0
5561,10688417,15481,38,26697,206,have,5,what have you be do,pro:int v pro:per aux part,MOT,Mother,Mother,15480.0,24.066202591429,Eleanor,female,question,319.882,318.361,s,13,Eng-UK,7.0,eng,MPI-EVA-Manchester,3.72,2.18,314232.0
5562,10688417,15481,38,26697,206,you,5,what have you be do,pro:int v pro:per aux part,MOT,Mother,Mother,15480.0,24.066202591429,Eleanor,female,question,319.882,318.361,s,13,Eng-UK,7.0,eng,MPI-EVA-Manchester,4.35,4.11,2134713.0
5563,10688417,15481,38,26697,206,been,5,what have you be do,pro:int v pro:per aux part,MOT,Mother,Mother,15480.0,24.066202591429,Eleanor,female,question,319.882,318.361,s,13,Eng-UK,7.0,eng,MPI-EVA-Manchester,,1.92,88573.0
5564,10688417,15481,38,26697,206,do,5,what have you be do,pro:int v pro:per aux part,MOT,Mother,Mother,15480.0,24.066202591429,Eleanor,female,question,319.882,318.361,s,13,Eng-UK,7.0,eng,MPI-EVA-Manchester,3.6,2.46,312915.0
5565,10688554,15482,45,26697,206,for,3,for tea Eleanor,prep n n:prop,FAT,,Father,15480.0,24.066202591429,Eleanor,female,declarative,328.952,326.99,s,13,Eng-UK,3.0,eng,MPI-EVA-Manchester,4.39,1.63,351650.0
5566,10688554,15482,45,26697,206,tea,3,for tea Eleanor,prep n n:prop,FAT,,Father,15480.0,24.066202591429,Eleanor,female,declarative,328.952,326.99,s,13,Eng-UK,3.0,eng,MPI-EVA-Manchester,5.47,4.69,2990.0
